Plateau,avg_voltage,G_avg,n_candidate,interesting,R_unknown
262,0.9747660612956806,1.3787448829565276e-06,1,False,334.1103199411202
263,0.9754364655861334,1.3846289664363603e-06,1,False,325.01029370689974
264,0.61609216909878,4.87778662362642e-05,1,False,8042.415906428741
265,0.976332829747924,1.272900439074684e-06,1,False,312.86262748183174
266,0.9738591163100556,1.4595675391330033e-06,1,False,346.4410745885412
267,0.9778547904113241,1.2031764485778737e-06,1,False,292.2877899989568
268,0.6018514115382562,4.980764259961489e-05,1,False,8538.098156062557
269,0.9757885220213467,1.2963658888340957e-06,1,False,320.23650886646675
270,0.978139994437023,1.1768089861632644e-06,1,False,288.4393429701345
271,0.9775677963109615,1.1738438441043067e-06,1,False,296.1626584356425
272,0.9747477928447741,1.3518331776085776e-06,1,False,334.35846995763404
273,0.9772613904239887,1.2070880265359997e-06,1,False,300.3021282889446
274,0.9757676214795613,1.3245304644824657e-06,1,False,320.5198180692935
275,0.9792667327083808,1.0987145477705536e-06,1,False,273.25743779771386
276,0.9764237680644415,1.245493006090262e-06,1,False,311.6314634448309
277,0.6023645650904516,4.933137136212123e-05,1,False,8519.829614127222
278,0.9767728479602165,1.217601242636579e-06,1,False,306.907590993636
279,0.9787472537578137,1.1854786191638068e-06,1,False,280.2526620763105
280,0.9746809119941119,1.3322622607170693e-06,1,False,335.267027238717
281,0.6150960215519242,4.861577239990182e-05,1,False,8076.342504161163
282,0.9761676939303237,1.2853159463245776e-06,1,False,315.09889730671466
283,0.9748704451093992,1.3516493781065609e-06,1,False,332.6925978642789
284,0.6031317909308109,5.081067878332998e-05,1,False,8492.573946079036
285,0.9768202114732186,1.2306538139619577e-06,1,False,306.2669113320301
286,0.9758843052744928,1.3196068736230254e-06,1,False,318.93831130002246
287,0.9774333916398732,1.1876799065397188e-06,1,False,297.9781136964188
288,0.9775796824527241,1.2706825245815363e-06,1,False,296.0021318018165
289,0.9768284907056644,1.2238652022373943e-06,1,False,306.15492568407984
290,0.9748291613085721,1.359589266669867e-06,1,False,333.2532706853326
291,0.9768657360179436,1.2196658794518594e-06,1,False,305.6511656943711
292,0.9752019278118433,1.3269213933506284e-06,1,False,328.1924719894137
293,0.9773523078468676,1.2328646962166625e-06,1,False,299.07358495643035
294,0.9726900137361139,1.5516036481987463e-06,1,False,362.3700290898593
295,0.9772884289055763,1.1923443780062937e-06,1,False,299.9367404846783
296,0.9775914721097797,1.211927155693095e-06,1,False,295.8429120849352
297,0.975693156283925,1.3335970005203221e-06,1,False,321.52930085935213
298,0.9756755753977424,1.2983774543508881e-06,1,False,321.7676575333358
299,0.9766191291323464,1.2976013775675088e-06,1,False,308.9873523539279
300,0.9763365841160218,1.2691184929968123e-06,1,False,312.8117946105718
301,0.9778071458118524,1.16554363973638e-06,1,False,292.9309090165439
302,0.9738177833810163,1.4171467362293722e-06,1,False,347.00358115107554
303,0.9714982801855376,1.589553997796632e-06,1,False,378.64678756263817
304,0.9786009760538755,1.1621250467437126e-06,1,False,282.2237553684734
305,0.9747041791312415,1.3892073917392234e-06,1,False,334.9509356737866
306,0.977081977583069,1.2410041001696307e-06,1,False,302.72715778649723
307,0.976369910394091,1.2686337326323927e-06,1,False,312.36058524030244
308,0.9767367079627508,1.2450988434336939e-06,1,False,307.3964935133706
309,0.9769158733044085,1.2251187670146542e-06,1,False,304.97309647758266
310,0.9749481261076998,1.3479475410430403e-06,1,False,331.6377456195487
311,0.9736806392808457,1.4337235862294758e-06,1,False,348.87033966152245
312,0.9724434432237916,1.4958377946357031e-06,1,False,365.7344287023823
313,0.979779657084179,1.1260217732734085e-06,1,False,266.35775435494304
314,0.9749495459575117,1.3515411198984094e-06,1,False,331.6184666417003
315,0.9748000071052417,1.35590899558564e-06,1,False,333.64924078114547
316,0.632203577823554,4.679821477037953e-05,1,False,7508.545160836929
317,0.9766846288348823,1.2537231691456736e-06,1,False,308.1010845053203
318,0.9771141899343448,1.2358231545543992e-06,1,False,302.2916946967388
319,0.9779430646692392,1.166014919489695e-06,1,False,291.09640704279053
320,0.977802809801649,1.1776830313095403e-06,1,False,292.9894407052409
321,0.9785190930980686,1.178085761029653e-06,1,False,283.3273861602766
322,0.9785678297802642,1.1468872966542585e-06,1,False,282.6704835786927
323,0.9755346161917812,1.2897889487183907e-06,1,False,323.679053094406
324,0.9746501456034687,1.4186350238037637e-06,1,False,335.6850217540947
325,0.9775447211939903,1.2030352971796633e-06,1,False,296.47430736291716
326,0.9744364150731656,1.3886613911043678e-06,1,False,338.58950952505785
327,0.9766861155459637,1.2330800391676755e-06,1,False,308.0809693931758
328,0.9766482876430915,1.2974657231755886e-06,1,False,308.5927977043775
329,0.9746938046106758,1.3645340071186986e-06,1,False,335.09187501868
330,0.9753675918053973,1.307361321726391e-06,1,False,325.9446055662728
331,0.6105690904966982,4.9265957964175627e-05,1,False,8231.914489425772
332,0.9768486746268956,1.2656974407115933e-06,1,False,305.88192409223814
333,0.9777891048524041,1.2064750682936765e-06,1,False,293.17444687125953
334,0.9784912628650997,1.2282489870461939e-06,1,False,283.702528283339
335,0.6082436323955057,5.008461044741689e-05,1,False,8312.731239047207
336,0.9762944447622653,1.2827492180516233e-06,1,False,313.3823696070272
337,0.6200672682435079,4.825929236014404e-05,1,False,7908.118162807574
338,0.9765640444102355,1.2848953857078899e-06,1,False,309.73278850786517
339,0.6185424493399068,4.862949959893216e-05,1,False,7959.429720300374
340,0.9745028980692848,1.382079503112909e-06,1,False,337.6859033522451
341,0.9754932342592135,1.3056108502079311e-06,1,False,324.2402936795295
342,0.9746644010849297,1.3755946997958552e-06,1,False,335.4913424215061
343,0.9770851015322144,1.2066053498330464e-06,1,False,302.6849253820918
